Placa,Chassi,Tipo,Ignição,HR Evento,HR Recebimento,Velocidade,Tensão,Sinal,Hodômetro,Endereço,Lat/Long
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:50,21/07/2025 15:50,125,14.02v,10,6698348,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.51294, -49.124947"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 15:50,21/07/2025 15:50,132,13.99v,10,6698418,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.513226, -49.124306"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:50,21/07/2025 15:50,112,14.02v,10,6698672,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.51423, -49.122093"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:51,21/07/2025 15:51,125,14.02v,10,6699240,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.516525, -49.116993"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 15:51,21/07/2025 15:51,129,14.02v,10,6699310,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.516798, -49.11635"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:51,21/07/2025 15:51,116,14.02v,10,6699737,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.518494, -49.112568"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:51,21/07/2025 15:51,121,14.02v,10,6700305,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.520662, -49.1078"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 15:51,21/07/2025 15:51,126,13.99v,10,6700340,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.520952, -49.10719"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:52,21/07/2025 15:52,101,14.02v,10,6701486,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.525326, -49.097237"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:52,21/07/2025 15:52,123,13.99v,10,6702400,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.528973, -49.08907"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 15:52,21/07/2025 15:52,120,13.99v,10,6702470,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.529263, -49.08845"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:52,21/07/2025 15:52,109,13.95v,10,6702533,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.529503, -49.087883"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:53,21/07/2025 15:53,28,13.95v,10,6702796,"Rua Tubarão, São José dos Pinhais - PR","-25.530857, -49.085876"
